time,cpu,mem,diskRand,diskSeq
1636992356,901.59,1801.92,23.44,20.46
1636994159,907.48,1802.63,20.2,17.85
1636995953,889.69,1798.62,29.93,19.9
1636997757,906.49,1781.92,23.87,17.64
1636999552,901.53,1798.06,30.5,18.32
1637001358,906.88,1800.86,24.7,17.51
1637003153,901.51,1800.1,34.56,25.56
1637004954,903.72,1802.36,30.04,18.64
1637006752,896.23,1798.99,22.46,19.11
1637008555,905.73,1800.9,21.25,20.2
1637010354,899.65,1799.39,22.79,36.38
1637012153,907.84,1803.58,23.53,18.32
1637013955,900.23,1798.46,20.48,19.03
1637015748,907.02,1797.09,32.81,27.57
1637017552,894.84,1796.32,21.13,18.51
1637019356,908.27,1801.12,21.15,18.98
1637021150,891.23,1796.34,21.56,19.75
1637022956,904.45,1799.76,30.72,17.45
1637024755,895.54,1800,18.43,19.92
1637026549,904.38,1801,25.89,18.15
1637028354,871.43,1797.68,20.46,18.59
1637030152,905.95,1802.55,28.75,37.05
1637031950,895.26,1800.68,35.78,36.28
1637033752,902.94,1800.33,21.49,17.27
1637035554,869.34,1800.76,22.38,19.11
1637037349,905.04,1800.29,34.51,34.55
1637039154,904.57,1802.74,23.54,27.45
1637040950,904.85,1801.46,24.77,22.41
1637042754,893.86,1800.81,16.85,17.49
1637044550,907.38,1801.47,20.38,19.24
1637046355,866.66,1799.08,25.42,18.11
1637048151,908.19,1800.59,32.65,38.51
1637049957,899.81,1800.04,24.92,26.14
1637051878,907.95,1799.85,25.02,1.56
1637054152,879.61,1795.6,23.45,1.56
1637055953,907.34,1798.76,11.13,1.56
1637057757,904.75,1798.94,11.21,1.56
1637059550,906.88,1798.39,10.94,1.55
1637061352,868.93,1802.82,11.18,1.56
1637063156,906.13,1801.83,11.21,1.56
1637064951,895.23,1800.91,10.97,1.56
1637066754,907.48,1798.94,11.19,1.56
1637068552,898.32,1800.17,11.07,1.56
1637070356,909.21,1799.24,11.19,1.56
1637072153,898.12,1802.33,11.06,1.56
1637073954,906.23,1799.08,11.11,1.56
1637075757,901.13,1799.94,11.17,1.56
1637077557,907.51,1799.79,11.04,1.56
1637079351,899.24,1797.4,10.98,1.56
1637081152,905.42,1797.38,11.13,1.56
1637082959,900.41,1797.35,11.24,1.56
1637084756,757.43,1801.95,10.57,1.56
1637086552,891.05,1801.08,11,1.56
1637088357,904.89,1798.24,11.24,1.56
1637090154,893.14,1800.5,11.05,1.56
1637091954,907.42,1800.02,11.11,1.56
1637093758,898.39,1799.9,11.1,1.56
1637095554,906.92,1802.25,11.01,1.56
1637097349,897.06,1796.25,11.01,1.55
1637099153,906.36,1800.57,11.21,1.56
1637100954,898.69,1798.61,11.17,1.56
1637102750,905.1,1801.56,11,1.56
1637104553,899.46,1800.32,11.21,1.56
1637106353,907.87,1800.31,11.1,1.56
1637108151,901.04,1801.41,11.08,1.56
1637109951,905.33,1796.81,11.1,1.56
1637111753,903.72,1794.29,11.18,1.56
1637113553,905.12,1804.78,11.1,1.56
1637115354,891.28,1800.08,11.16,1.56
1637117150,907.69,1799.72,11.01,1.56
1637118952,901.19,1802.36,11.16,1.56
1637120753,908.2,1802.19,11.13,1.56
1637122554,888.45,1797.6,10.89,1.56
1637124353,908.96,1792.78,11.1,1.56
1637126153,901.06,1799.97,11.11,1.56
1637127953,906,1802.6,11.12,1.56
1637129782,890.22,1799.23,11.22,1.55
1637131554,899.72,1801.66,8.07,1.56
1637133353,886.15,1799.09,11.1,1.56
1637135151,907.91,1800.15,11.07,1.56
1637136953,869.18,1800.17,11.17,1.56
1637138753,904.62,1795.86,11.11,1.56
1637140553,874.19,1798.8,11.1,1.56
1637142354,905.67,1798.29,11.14,1.56
1637144155,887.7,1800.39,11.12,1.56
1637145955,910.12,1807.38,11.13,1.56
1637147756,877.88,1807.43,11.04,1.56
1637149555,907.17,1800.56,11.07,1.56
1637151350,894.32,1801.23,11.01,1.56
1637153153,906.04,1801.05,11.17,1.56
1637154952,898.33,1799.08,11.09,1.56
1637156751,905.53,1802.52,11.08,1.56
1637158555,885.13,1801.72,11.21,1.56
1637160353,906.48,1801.77,11.07,1.56
1637162154,864.2,1798.09,11.04,1.56
