time,cpu,mem,diskRand,diskSeq
1636992914,948.62,8432.56,8.59,7.47
1636994719,947.21,8403.78,8.59,7.75
1636996519,944.62,8406.33,8.59,7.71
1636998319,944.88,8410.31,8.59,7.68
1637000118,944.70,8407.34,8.59,7.71
1637001917,947.30,8428.22,8.59,7.62
1637003719,945.29,8406.34,8.59,7.69
1637005518,948.56,8427.85,8.59,7.72
1637007318,945.59,8416.00,8.59,7.66
1637009120,947.66,8406.88,8.59,7.82
1637010922,945.24,8407.14,8.59,7.80
1637012720,943.05,8395.24,8.59,7.71
1637014518,948.52,8421.42,8.59,7.68
1637016318,947.20,8428.32,8.59,7.73
1637018127,948.95,8436.11,6.95,8.59
1637019917,949.62,8439.56,8.59,7.64
1637021718,947.10,8420.25,8.59,7.73
1637023519,948.40,8427.05,8.59,7.73
1637025320,947.98,8430.39,8.58,7.75
1637027118,949.97,8440.29,8.59,7.72
1637028918,948.84,8438.07,8.59,7.70
1637030717,946.48,8420.12,8.59,7.67
1637032522,945.65,8409.05,8.59,7.81
1637034318,946.06,8418.84,8.59,7.69
1637036120,944.73,8420.37,8.59,7.76
1637037920,946.97,8415.69,8.56,7.73
1637039722,944.63,8405.21,8.59,7.74
1637041519,947.13,8423.19,8.57,7.76
1637043322,940.22,8406.96,8.59,7.82
1637045120,943.43,8390.18,8.59,7.80
1637046923,942.79,8413.02,8.59,7.80
1637048721,946.42,8419.60,8.58,7.84
1637050522,941.82,8375.18,8.59,7.83
1637052322,946.24,8399.97,8.59,7.81
1637054124,945.71,8404.35,8.59,7.87
1637055922,943.51,8388.15,8.59,7.88
1637057723,940.54,8384.34,8.59,7.86
1637059523,942.14,8353.72,8.59,7.89
1637061325,944.03,8393.82,8.59,7.91
1637063121,944.47,8396.30,8.59,7.83
1637064926,943.44,8388.46,8.59,7.96
1637066725,938.54,8336.54,8.59,7.89
1637068522,942.20,8371.85,8.59,7.83
1637070324,942.21,8371.90,8.58,7.89
1637072121,941.66,8387.46,8.59,7.80
1637073922,941.86,8403.41,8.59,7.87
1637075724,943.60,8382.99,8.59,7.85
1637077522,944.67,8396.70,8.58,7.90
1637079322,942.30,8360.61,8.59,7.85
1637081119,944.99,8421.97,8.59,7.73
1637082920,947.99,8411.80,8.59,7.73
1637084721,944.93,8396.83,8.59,7.75
1637086533,934.93,8380.79,8.59,8.57
1637088320,945.66,8427.83,8.59,7.78
1637090126,946.64,8406.77,8.59,7.93
1637091917,950.16,8449.05,8.59,7.69
1637093718,947.98,8440.21,8.59,7.72
1637095519,946.82,8427.98,8.59,7.74
1637097321,948.21,8429.88,8.59,7.80
1637099120,944.24,8361.98,8.59,7.78
1637100918,949.00,8439.83,8.59,7.72
1637102722,947.44,8426.94,8.59,7.78
1637104522,946.86,8417.00,8.59,7.79
1637106320,949.26,8419.03,8.59,7.76
1637108120,948.17,8424.20,8.59,7.79
1637109920,946.73,8422.93,8.59,7.78
1637111721,946.28,8403.94,8.59,7.68
1637113518,949.78,8449.38,8.59,7.71
1637115317,949.45,8440.13,8.59,7.63
1637117115,951.20,8452.84,8.59,7.57
1637118921,940.90,8344.21,8.59,7.64
1637120716,948.11,8432.45,8.59,7.68
1637122516,948.25,8432.83,8.59,7.64
1637124317,949.69,8450.14,8.59,7.66
1637126127,936.21,8288.21,8.58,8.05
1637127919,939.13,8370.53,8.59,7.77
1637129721,934.32,8172.14,8.59,7.78
1637131520,940.87,8335.78,8.59,7.81
1637133324,937.90,8327.68,8.59,7.97
1637135123,941.46,8373.45,8.59,8.06
1637136922,945.93,8309.61,8.59,7.81
1637138720,941.14,8353.52,8.58,7.69
1637140522,940.38,8351.35,8.59,7.90
1637142326,939.55,8368.28,8.59,8.09
1637144123,943.81,8373.72,8.58,7.86
1637145921,939.85,8311.19,8.59,7.77
1637147721,939.46,8358.87,8.59,7.84
1637149527,938.64,8357.39,8.59,8.15
1637151324,936.81,8298.20,8.57,7.93
1637153123,940.32,8375.28,8.59,7.91
1637154923,936.63,8349.88,8.59,7.89
1637156724,942.58,8357.61,8.59,7.98
1637158523,938.90,8339.70,8.59,6.58
1637160322,937.88,8338.24,8.59,7.87
1637162121,941.54,8370.76,8.59,7.79
1637163923,940.84,8363.40,8.59,7.88
